08-07 22:49:28: Training starting...
08-07 22:49:30: New best reward -8.1 (-100.0%) at episode 0, saving model...
08-07 22:49:30: New best reward -5.7 (-29.6%) at episode 1, saving model...
08-07 22:49:31: New best reward -5.1 (-10.5%) at episode 63, saving model...
08-07 22:49:31: New best reward -3.3 (-35.3%) at episode 90, saving model...
08-07 22:49:34: New best reward -0.9 (-72.7%) at episode 676, saving model...
08-07 22:49:40: New best reward 2.7 (-400.0%) at episode 1643, saving model...
08-07 22:49:51: New best reward 3.9 (+44.4%) at episode 3009, saving model...
08-07 22:51:16: New best reward 4.0 (+2.6%) at episode 9179, saving model...
08-07 22:51:28: New best reward 4.3 (+7.5%) at episode 9973, saving model...
08-07 22:51:32: New best reward 6.3 (+46.5%) at episode 10520, saving model...
08-07 22:52:23: New best reward 8.4 (+33.3%) at episode 13780, saving model...
08-07 22:52:52: New best reward 8.6 (+2.4%) at episode 17098, saving model...
08-07 22:54:34: New best reward 10.6 (+23.3%) at episode 25814, saving model...
08-07 23:00:36: New best reward 11.0 (+3.8%) at episode 43977, saving model...
08-07 23:20:08: New best reward 12.9 (+17.3%) at episode 98495, saving model...
08-07 23:22:29: New best reward 17.9 (+38.8%) at episode 104297, saving model...
08-07 23:24:57: New best reward 20.4 (+14.0%) at episode 108208, saving model...
08-07 23:25:40: New best reward 22.4 (+9.8%) at episode 108742, saving model...
08-07 23:28:05: New best reward 22.9 (+2.2%) at episode 112086, saving model...
08-07 23:29:58: New best reward 23.3 (+1.7%) at episode 117348, saving model...
08-07 23:34:24: New best reward 31.9 (+36.9%) at episode 121614, saving model...
08-08 00:00:14: New best reward 41.6 (+30.4%) at episode 146001, saving model...
08-08 00:13:13: New best reward 43.8 (+5.3%) at episode 155265, saving model...
08-08 00:20:16: New best reward 47.1 (+7.5%) at episode 162284, saving model...
08-08 00:39:05: New best reward 48.5 (+3.0%) at episode 186714, saving model...
08-08 00:54:34: New best reward 50.4 (+3.9%) at episode 202229, saving model...
08-08 01:00:25: New best reward 52.7 (+4.6%) at episode 209910, saving model...
08-08 01:03:11: New best reward 53.3 (+1.1%) at episode 213212, saving model...
08-08 01:07:44: New best reward 54.9 (+3.0%) at episode 219415, saving model...
08-08 01:07:44: New best reward 68.9 (+25.5%) at episode 219428, saving model...
